T_h,T_ell,n_h,n_ell,sigma_ratio,eps_ell,cap_K_minus_nh,r1_lower,r2_upper,has_real_roots,upper_root_exceeds_cap
1,5,4,1,1.1,0.0,5.0,0.8894205879556547,5.110579412044345,True,True
1,5,4,1,1.1,0.25,5.0,1.1041569041160524,5.145843095883947,True,True
1,5,4,1,1.1,0.5,5.0,1.3149759221606099,5.18502407783939,True,True
1,5,4,1,1.1,0.75,5.0,1.5213334859110859,5.228666514088914,True,True
1,5,4,1,1.1,1.0,5.0,1.7226168367257133,5.277383163274287,True,True
1,5,4,1,1.2000000000000002,0.0,5.0,0.8015156736211799,5.19848432637882,True,True
1,5,4,1,1.2000000000000002,0.25,5.0,0.9902185904250835,5.2597814095749165,True,True
1,5,4,1,1.2000000000000002,0.5,5.0,1.1733440342704813,5.326655965729518,True,True
1,5,4,1,1.2000000000000002,0.75,5.0,1.3504115644572763,5.399588435542723,True,True
1,5,4,1,1.2000000000000002,1.0,5.0,1.5209429854936802,5.47905701450632,True,True
1,5,4,1,1.3000000000000003,0.0,5.0,0.7297916056348144,5.270208394365186,True,True
1,5,4,1,1.3000000000000003,0.25,5.0,0.8983584275174206,5.351641572482579,True,True
1,5,4,1,1.3000000000000003,0.5,5.0,1.0606463897375482,5.439353610262452,True,True
1,5,4,1,1.3000000000000003,0.75,5.0,1.216330092573028,5.533669907426972,True,True
1,5,4,1,1.3000000000000003,1.0,5.0,1.3651247559418587,5.634875244058142,True,True
1,5,4,1,1.4000000000000004,0.0,5.0,0.6700705099571298,5.32992949004287,True,True
1,5,4,1,1.4000000000000004,0.25,5.0,0.822536257459352,5.427463742540648,True,True
1,5,4,1,1.4000000000000004,0.5,5.0,0.9684748209022231,5.531525179097777,True,True
1,5,4,1,1.4000000000000004,0.75,5.0,1.1077053565978683,5.642294643402131,True,True
1,5,4,1,1.4000000000000004,1.0,5.0,1.2401011400633748,5.759898859936625,True,True
1,5,4,1,1.5000000000000007,0.0,5.0,0.6195238571523829,5.380476142847617,True,True
1,5,4,1,1.5000000000000007,0.25,5.0,0.7587881892498856,5.491211810750114,True,True
1,5,4,1,1.5000000000000007,0.5,5.0,0.8915047169858488,5.608495283014151,True,True
1,5,4,1,1.5000000000000007,0.75,5.0,1.0176091400307268,5.732390859969273,True,True
1,5,4,1,1.5000000000000007,1.0,5.0,1.1370921868736952,5.862907813126305,True,True
1,5,4,1,1.6000000000000005,0.0,5.0,0.5761600712918353,5.423839928708165,True,True
1,5,4,1,1.6000000000000005,0.25,5.0,0.7043854086203645,5.5456145913796355,True,True
1,5,4,1,1.6000000000000005,0.5,5.0,0.8261600712918353,5.673839928708165,True,True
1,5,4,1,1.6000000000000005,0.75,5.0,0.9415097082585264,5.808490291741474,True,True
1,5,4,1,1.6000000000000005,1.0,5.0,1.0505102572168217,5.949489742783179,True,True
1,5,4,1,1.7000000000000006,0.0,5.0,0.5385322408343907,5.461467759165609,True,True
1,5,4,1,1.7000000000000006,0.25,5.0,0.6573787949191416,5.592621205080858,True,True
1,5,4,1,1.7000000000000006,0.5,5.0,0.7699324013007933,5.730067598699207,True,True
1,5,4,1,1.7000000000000006,0.75,5.0,0.8762870960291194,5.873712903970881,True,True
1,5,4,1,1.7000000000000006,1.0,5.0,0.9765802848468645,6.0234197151531355,True,True
1,5,4,1,1.8000000000000005,0.0,5.0,0.5055617421507055,5.4944382578492945,True,True
1,5,4,1,1.8000000000000005,0.25,5.0,0.6163344627516048,5.633665537248396,True,True
1,5,4,1,1.8000000000000005,0.5,5.0,0.7210015157510798,5.77899848424892,True,True
1,5,4,1,1.8000000000000005,0.75,5.0,0.8197086489230059,5.930291351076994,True,True
1,5,4,1,1.8000000000000005,1.0,5.0,0.9126375506233289,6.087362449376672,True,True
1,5,4,1,1.9000000000000008,0.0,5.0,0.4764269274238204,5.52357307257618,True,True
1,5,4,1,1.9000000000000008,0.25,5.0,0.580171652981389,5.669828347018611,True,True
1,5,4,1,1.9000000000000008,0.5,5.0,0.6780101907380405,5.821989809261959,True,True
1,5,4,1,1.9000000000000008,0.75,5.0,0.7701272886942698,5.97987271130573,True,True
1,5,4,1,1.9000000000000008,1.0,5.0,0.8567364669289668,6.143263533071034,True,True
1,5,4,1,2.000000000000001,0.0,5.0,0.4504902432036073,5.549509756796393,True,True
1,5,4,1,2.000000000000001,0.25,5.0,0.548058983988962,5.7019410160110375,True,True
1,5,4,1,2.000000000000001,0.5,5.0,0.6399233727723623,5.860076627227638,True,True
1,5,4,1,2.000000000000001,0.75,5.0,0.7262974874478632,6.023702512552137,True,True
1,5,4,1,2.000000000000001,1.0,5.0,0.8074175964327477,6.192582403567252,True,True
1,5,4,1,2.100000000000001,0.0,5.0,0.4272490172876,5.5727509827123995,True,True
1,5,4,1,2.100000000000001,0.25,5.0,0.5193456630225248,5.730654336977475,True,True
1,5,4,1,2.100000000000001,0.5,5.0,0.6059365687314857,5.894063431268514,True,True
1,5,4,1,2.100000000000001,0.75,5.0,0.6872577628549768,6.062742237145024,True,True
1,5,4,1,2.100000000000001,1.0,5.0,0.7635615778725735,6.236438422127426,True,True
1,5,4,1,2.200000000000001,0.0,5.0,0.40630134223870806,5.593698657761292,True,True
1,5,4,1,2.200000000000001,0.25,5.0,0.4935145052478611,5.756485494752139,True,True
1,5,4,1,2.200000000000001,0.5,5.0,0.5754142206859223,5.924585779314078,True,True
1,5,4,1,2.200000000000001,0.75,5.0,0.6522528077826846,6.097747192217316,True,True
1,5,4,1,2.200000000000001,1.0,5.0,0.724293701677813,6.275706298322187,True,True
1,5,4,1,2.300000000000001,0.0,5.0,0.3873218804219798,5.61267811957802,True,True
1,5,4,1,2.300000000000001,0.25,5.0,0.4701490257168528,5.779850974283147,True,True
1,5,4,1,2.300000000000001,0.5,5.0,0.5478470741309605,5.95215292586904,True,True
1,5,4,1,2.300000000000001,0.75,5.0,0.6206802702095304,6.12931972979047,True,True
1,5,4,1,2.300000000000001,1.0,5.0,0.6889194403141912,6.311080559685809,True,True
1,5,4,1,2.4000000000000012,0.0,5.0,0.3700443603234165,5.6299556396765835,True,True
1,5,4,1,2.4000000000000012,0.25,5.0,0.44890987944476457,5.801090120555235,True,True
1,5,4,1,2.4000000000000012,0.5,5.0,0.5228219713410711,5.977178028658929,True,True
1,5,4,1,2.4000000000000012,0.75,5.0,0.5920534200839089,6.157946579916091,True,True
1,5,4,1,2.4000000000000012,1.0,5.0,0.6568796484613362,6.343120351538664,True,True
1,5,4,1,2.5000000000000013,0.0,5.0,0.3542486889354093,5.645751311064591,True,True
1,5,4,1,2.5000000000000013,0.25,5.0,0.4295176683940216,5.820482331605978,True,True
1,5,4,1,2.5000000000000013,0.5,5.0,0.49999999999999956,6.0,True,True
1,5,4,1,2.5000000000000013,0.75,5.0,0.5659743682194707,6.184025631780529,True,True
1,5,4,1,2.5000000000000013,1.0,5.0,0.6277186767309852,6.372281323269014,True,True
1,5,4,1,2.6000000000000014,0.0,5.0,0.3397513129552947,5.660248687044705,True,True
1,5,4,1,2.6000000000000014,0.25,5.0,0.4117401808610648,5.838259819138935,True,True
1,5,4,1,2.6000000000000014,0.5,5.0,0.47910039601132137,6.020899603988679,True,True
1,5,4,1,2.6000000000000014,0.75,5.0,0.5421144773190383,6.207885522680962,True,True
1,5,4,1,2.6000000000000014,1.0,5.0,0.6010612021213424,6.398938797878658,True,True
1,5,4,1,2.700000000000002,0.0,5.0,0.32639790766311894,5.673602092336881,True,True
1,5,4,1,2.700000000000002,0.25,5.0,0.3953827768008962,5.854617223199104,True,True
1,5,4,1,2.700000000000002,0.5,5.0,0.4598884928694651,6.0401115071305345,True,True
1,5,4,1,2.700000000000002,0.75,5.0,0.5201997864545298,6.22980021354547,True,True
1,5,4,1,2.700000000000002,1.0,5.0,0.5765950851282509,6.42340491487175,True,True
1,5,4,1,2.8000000000000016,0.0,5.0,0.31405776043383327,5.685942239566167,True,True
1,5,4,1,2.8000000000000016,0.25,5.0,0.38028104483225,5.86971895516775,True,True
1,5,4,1,2.8000000000000016,0.5,5.0,0.44216656985700586,6.057833430142994,True,True
1,5,4,1,2.8000000000000016,0.75,5.0,0.49999999999999956,6.25,True,True
1,5,4,1,2.8000000000000016,1.0,5.0,0.5540584818141023,6.445941518185897,True,True
1,5,4,1,2.9000000000000017,0.0,5.0,0.30261940598559267,5.697380594014407,True,True
1,5,4,1,2.9000000000000017,0.25,5.0,0.3662951252069573,5.883704874793043,True,True
1,5,4,1,2.9000000000000017,0.5,5.0,0.42576681142504125,6.074233188574959,True,True
1,5,4,1,2.9000000000000017,0.75,5.0,0.4813200555884456,6.268679944411554,True,True
1,5,4,1,2.9000000000000017,1.0,5.0,0.5332300160054477,6.466769983994553,True,True
1,5,4,1,3.0000000000000018,0.0,5.0,0.2919871984546796,5.708012801545321,True,True
1,5,4,1,3.0000000000000018,0.25,5.0,0.3533052717395684,5.896694728260432,True,True
1,5,4,1,3.0000000000000018,0.5,5.0,0.41054582709986276,6.089454172900137,True,True
1,5,4,1,3.0000000000000018,0.75,5.0,0.46399358754857145,6.286006412451428,True,True
1,5,4,1,3.0000000000000018,1.0,5.0,0.5139211888051802,6.48607881119482,True,True
1,5,4,2,1.1,0.0,5.0,1.7788411759113094,10.22115882408869,True,True
1,5,4,2,1.1,0.25,5.0,1.994494032754032,10.255505967245968,True,True
1,5,4,2,1.1,0.5,5.0,2.2083138082321048,10.291686191767894,True,True
1,5,4,2,1.1,0.75,5.0,2.420176995110906,10.329823004889095,True,True
1,5,4,2,1.1,1.0,5.0,2.6299518443212198,10.37004815567878,True,True
1,5,4,2,1.2000000000000002,0.0,5.0,1.6030313472423598,10.39696865275764,True,True
1,5,4,2,1.2000000000000002,0.25,5.0,1.7930691372091356,10.456930862790864,True,True
1,5,4,2,1.2000000000000002,0.5,5.0,1.980437180850167,10.519562819149833,True,True
1,5,4,2,1.2000000000000002,0.75,5.0,2.1650168250534145,10.584983174946586,True,True
1,5,4,2,1.2000000000000002,1.0,5.0,2.3466880685409626,10.653311931459037,True,True
1,5,4,2,1.3000000000000003,0.0,5.0,1.4595832112696288,10.540416788730372,True,True
1,5,4,2,1.3000000000000003,0.25,5.0,1.6296765753388005,10.6203234246612,True,True
1,5,4,2,1.3000000000000003,0.5,5.0,1.7967168550348411,10.703283144965159,True,True
1,5,4,2,1.3000000000000003,0.75,5.0,1.9606168215532254,10.789383178446775,True,True
1,5,4,2,1.3000000000000003,1.0,5.0,2.1212927794750964,10.878707220524904,True,True
1,5,4,2,1.4000000000000004,0.0,5.0,1.3401410199142596,10.65985898008574,True,True
1,5,4,2,1.4000000000000004,0.25,5.0,1.4942121157872679,10.755787884212733,True,True
1,5,4,2,1.4000000000000004,0.5,5.0,1.645072514918704,10.854927485081296,True,True
1,5,4,2,1.4000000000000004,0.75,5.0,1.792667858268799,10.9573321417312,True,True
1,5,4,2,1.4000000000000004,1.0,5.0,1.9369496418044463,11.063050358195554,True,True
1,5,4,2,1.5000000000000007,0.0,5.0,1.2390477143047658,10.760952285695234,True,True
1,5,4,2,1.5000000000000007,0.25,5.0,1.3799367759744223,10.870063224025579,True,True
1,5,4,2,1.5000000000000007,0.5,5.0,1.5175763784997711,10.982423621500228,True,True
1,5,4,2,1.5000000000000007,0.75,5.0,1.651940433716014,11.098059566283986,True,True
1,5,4,2,1.5000000000000007,1.0,5.0,1.7830094339716975,11.216990566028302,True,True
1,5,4,2,1.6000000000000005,0.0,5.0,1.1523201425836707,10.84767985741633,True,True
1,5,4,2,1.6000000000000005,0.25,5.0,1.2821573430473707,10.96784265695263,True,True
1,5,4,2,1.6000000000000005,0.5,5.0,1.408770817240729,11.091229182759271,True,True
1,5,4,2,1.6000000000000005,0.75,5.0,1.5321573430473707,11.21784265695263,True,True
1,5,4,2,1.6000000000000005,1.0,5.0,1.6523201425836707,11.34767985741633,True,True
1,5,4,2,1.7000000000000006,0.0,5.0,1.0770644816687813,10.922935518331219,True,True
1,5,4,2,1.7000000000000006,0.25,5.0,1.1974924269613805,11.05250757303862,True,True
1,5,4,2,1.7000000000000006,0.5,5.0,1.3147575898382833,11.185242410161717,True,True
1,5,4,2,1.7000000000000006,0.75,5.0,1.4288748083206881,11.321125191679311,True,True
1,5,4,2,1.7000000000000006,1.0,5.0,1.5398648026015866,11.460135197398413,True,True
1,5,4,2,1.8000000000000005,0.0,5.0,1.011123484301411,10.988876515698589,True,True
1,5,4,2,1.8000000000000005,0.25,5.0,1.1234377440643604,11.126562255935639,True,True
1,5,4,2,1.8000000000000005,0.5,5.0,1.2326689255032095,11.267331074496791,True,True
1,5,4,2,1.8000000000000005,0.75,5.0,1.3388459890287088,11.411154010971291,True,True
1,5,4,2,1.8000000000000005,1.0,5.0,1.4420030315021597,11.55799696849784,True,True
1,5,4,2,1.9000000000000008,0.0,5.0,0.9528538548476408,11.04714614515236,True,True
1,5,4,2,1.9000000000000008,0.25,5.0,1.0580956455798267,11.191904354420174,True,True
1,5,4,2,1.9000000000000008,0.5,5.0,1.160343305962778,11.339656694037222,True,True
1,5,4,2,1.9000000000000008,0.75,5.0,1.2596367881181996,11.4903632118818,True,True
1,5,4,2,1.9000000000000008,1.0,5.0,1.356020381476081,11.643979618523918,True,True
1,5,4,2,2.000000000000001,0.0,5.0,0.9009804864072146,11.099019513592786,True,True
1,5,4,2,2.000000000000001,0.25,5.0,1.0,11.25,True,True
1,5,4,2,2.000000000000001,0.5,5.0,1.096117967977924,11.403882032022075,True,True
1,5,4,2,2.000000000000001,0.75,5.0,1.1893828718271147,11.560617128172886,True,True
1,5,4,2,2.000000000000001,1.0,5.0,1.2798467455447247,11.720153254455276,True,True
1,5,4,2,2.100000000000001,0.0,5.0,0.8544980345752,11.145501965424799,True,True
1,5,4,2,2.100000000000001,0.25,5.0,0.9479990065951993,11.3020009934048,True,True
1,5,4,2,2.100000000000001,0.5,5.0,1.0386913260450497,11.46130867395495,True,True
1,5,4,2,2.100000000000001,0.75,5.0,1.1266300716544464,11.623369928345554,True,True
1,5,4,2,2.100000000000001,1.0,5.0,1.2118731374629714,11.788126862537029,True,True
1,5,4,2,2.200000000000001,0.0,5.0,0.8126026844774161,11.187397315522585,True,True
1,5,4,2,2.200000000000001,0.25,5.0,0.9011745556797868,11.348825444320212,True,True
1,5,4,2,2.200000000000001,0.5,5.0,0.9870290104957222,11.512970989504279,True,True
1,5,4,2,2.200000000000001,0.75,5.0,1.070226206519263,11.679773793480738,True,True
1,5,4,2,2.200000000000001,1.0,5.0,1.1508284413718446,11.849171558628155,True,True
1,5,4,2,2.300000000000001,0.0,5.0,0.7746437608439596,11.22535623915604,True,True
1,5,4,2,2.300000000000001,0.25,5.0,0.858785391351029,11.391214608648971,True,True
1,5,4,2,2.300000000000001,0.5,5.0,0.9402980514337056,11.559701948566294,True,True
1,5,4,2,2.300000000000001,0.75,5.0,1.0192457803900696,11.730754219609931,True,True
1,5,4,2,2.300000000000001,1.0,5.0,1.095694148261921,11.90430585173808,True,True
1,5,4,2,2.4000000000000012,0.0,5.0,0.740088720646833,11.259911279353167,True,True
1,5,4,2,2.4000000000000012,0.25,5.0,0.8202262065192629,11.429773793480738,True,True
